opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,29-11-16,28-03-17,0
FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,29-11-16,03-12-17,948
N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,29-11-16,03-10-17,3012
2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,30-11-16,15-03-17,3665
7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,30-11-16,24-03-17,564
3X13866U,Anna Snelling,GTX Plus Basic,dambase,Lost,12-01-16,03-06-17,0
7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,12-01-16,22-03-17,3463
J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,12-01-16,26-03-17,513
41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,12-01-16,28-03-17,590
QHI8WRIA,Darcel Schlecht,GTX Pro,Dontechi,Won,12-01-16,30-03-17,4511
AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,12-01-16,03-02-17,0
VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,12-01-16,26-03-17,546
PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,12-01-16,03-05-17,46
A0ANOYPF,Darcel Schlecht,GTX Pro,Ron-tech,Won,12-02-16,03-09-17,4891
0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,12-02-16,03-03-17,1040
O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,12-02-16,03-04-17,1108
0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,12-02-16,03-04-17,59
22OFSXBT,Jonathan Berthelot,GTX Pro,Statholdings,Won,12-02-16,30-03-17,5406
MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,12-02-16,20-03-17,515
LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,12-02-16,03-06-17,583
6KZ0NCFX,Versie Hillebrand,MG Special,Funholding,Won,12-02-16,14-03-17,54
3SF8O9S6,Vicki Laflamme,MG Special,Plusstrip,Won,12-02-16,27-03-17,60
XK668R7C,Darcel Schlecht,GTX Basic,Dontechi,Lost,12-03-16,03-12-17,0
TZCAQWL3,Darcel Schlecht,GTX Pro,Funholding,Lost,12-03-16,19-03-17,0
BADC6A9H,Darcel Schlecht,GTX Basic,Globex Corporation,Won,12-03-16,23-03-17,516
B8E0UUZR,Darcel Schlecht,GTX Pro,Rangreen,Won,12-03-16,22-03-17,4829
I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,12-03-16,17-03-17,0
MWWB44CC,Reed Clapper,GTX Plus Basic,Donquadtech,Won,12-03-16,03-02-17,950
HBTINPDG,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,12-03-16,03-09-17,0
DZ3KHZSX,Corliss Cosme,GTX Basic,Initech,Won,12-04-16,20-03-17,513
3W1K7X5F,Darcel Schlecht,GTX Pro,Condax,Lost,12-04-16,03-09-17,0
45A57X68,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,12-04-16,03-12-17,5522
9SLYC4TR,Gladys Colclough,MG Special,Cancity,Won,12-04-16,03-09-17,56
JLWKWQYC,James Ascencio,GTX Pro,Doncon,Won,12-04-16,03-08-17,5673
7QC6FOKW,Kami Bicknell,GTX Basic,Xx-holding,Won,12-04-16,03-10-17,598
XA184CMW,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,12-04-16,16-03-17,5787
S0N7BYU3,Maureen Marcano,GTX Plus Basic,Singletechno,Won,12-04-16,03-08-17,1070
6WOMHAJM,Boris Faz,MG Advanced,Donquadtech,Won,12-05-16,14-03-17,3677
G1QGATKV,Cassey Cress,GTX Plus Pro,Ontomedia,Won,12-05-16,30-03-17,5425
6XFVQI32,Donn Cantrell,MG Advanced,Yearin,Won,12-05-16,23-03-17,3415
OGD4MDJ9,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,12-05-16,21-03-17,891
4NGBUZWJ,Lajuana Vencill,GTX Basic,Codehow,Won,12-06-16,03-12-17,609
EFG5DGV5,Markita Hansen,MG Special,Plusstrip,Won,12-06-16,16-03-17,54
82MM4H33,Zane Levy,GTX Plus Basic,Labdrill,Won,12-06-16,03-09-17,1049
14PM641K,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,12-07-16,03-07-17,1152
DSBGHOPN,Daniell Hammack,MG Special,Plussunin,Lost,12-07-16,20-03-17,0
1YSOZLHF,Daniell Hammack,GTX Pro,Umbrella Corporation,Won,12-07-16,28-03-17,4799
E8RP9FRW,Gladys Colclough,MG Special,dambase,Won,12-07-16,03-12-17,51
787IRG9Q,Hayden Neloms,MG Advanced,J-Texon,Won,12-07-16,03-03-17,3426
0TUS4NAC,Jonathan Berthelot,MG Special,Rangreen,Won,12-07-16,03-11-17,51
FAJTQMUM,Kami Bicknell,GTX Basic,Finjob,Won,12-07-16,20-03-17,564
TWF0J0DF,Cecily Lampkin,GTX Plus Pro,Isdom,Won,12-08-16,03-01-17,5882
UQ14O415,Donn Cantrell,GTX Pro,Plussunin,Won,12-08-16,20-03-17,5059
BOJSLNDG,Kami Bicknell,MG Advanced,Singletechno,Won,12-08-16,03-11-17,3388
DASMR0EK,Markita Hansen,GTX Plus Pro,Zoomit,Won,12-08-16,03-10-17,5410
A76M0OOH,Reed Clapper,GTX Plus Basic,Zathunicon,Won,12-08-16,28-03-17,978
E1VKE2PH,Vicki Laflamme,MG Special,Scotfind,Won,12-08-16,26-03-17,54
SKY95DVG,Anna Snelling,MG Special,Betatech,Lost,12-09-16,22-03-17,0
V5OK4V5I,Cassey Cress,GTX Basic,Bubba Gump,Won,12-09-16,14-03-17,549
GJ4L5HHN,Corliss Cosme,GTX Plus Basic,Mathtouch,Won,12-09-16,14-03-17,1034
9R8JWY3J,Donn Cantrell,GTX Pro,Vehement Capital Partners,Won,12-09-16,03-03-17,4998
0EOFVU05,Donn Cantrell,MG Advanced,Ontomedia,Won,12-09-16,28-03-17,3421
HNHOPL7M,Kary Hendrixson,GTX Plus Pro,Doncon,Won,12-09-16,03-04-17,5425
Y0NYI17R,Vicki Laflamme,MG Special,Dalttechnology,Won,12-09-16,15-03-17,55
R4F4RGAL,Violet Mclelland,MG Advanced,Silis,Won,12-09-16,14-03-17,3558
0ZHLQFGU,Kami Bicknell,GTX Pro,Blackzim,Won,12-10-16,22-03-17,4839
40DPY158,Markita Hansen,MG Special,Hottechi,Won,12-10-16,25-03-17,47
DP9E525R,Maureen Marcano,GTX Plus Basic,Fasehatice,Won,12-10-16,24-03-17,1007
DBDUMQQK,Niesha Huffines,MG Special,Inity,Won,12-10-16,24-03-17,48
CNBN12RL,Versie Hillebrand,MG Special,Treequote,Won,12-10-16,03-07-17,49
OXL0YWEE,Violet Mclelland,GTX Basic,Mathtouch,Won,12-10-16,18-03-17,504
5CSSZJF4,Jonathan Berthelot,GTX Basic,Finhigh,Won,12-11-16,21-03-17,543
0XG8TOJF,Kary Hendrixson,GTX Plus Pro,Fasehatice,Lost,12-11-16,18-03-17,0
IIS0O91J,Kary Hendrixson,GTX Pro,Fasehatice,Won,12-11-16,28-03-17,5149
2LP5SUR5,Lajuana Vencill,GTX Basic,Treequote,Lost,12-11-16,03-09-17,0
PYZZ3IS6,Markita Hansen,GTX Plus Basic,Blackzim,Won,12-11-16,03-11-17,1043
5I4K5TQE,Cassey Cress,GTX Plus Pro,Sumace,Lost,12-12-16,03-09-17,0
RV3LPOYP,James Ascencio,GTX Basic,Condax,Won,12-12-16,29-03-17,437
1HVNTEPV,Rosie Papadopoulos,GTX Pro,Kinnamplus,Won,12-12-16,03-11-17,4465
LC85AQ1I,Vicki Laflamme,GTX Basic,Konex,Won,12-12-16,18-03-17,443
TBV972NP,Violet Mclelland,MG Special,Sumace,Lost,12-12-16,23-03-17,0
EJMX0EIJ,Darcel Schlecht,GTX Plus Pro,Betatech,Won,13-12-16,20-03-17,4278
VR9NYBOV,Garret Kinder,MG Special,Kinnamplus,Won,13-12-16,03-06-17,41
3U25FK08,Jonathan Berthelot,GTX Basic,Isdom,Won,13-12-16,28-03-17,519
CRLK4Z1P,Maureen Marcano,GTX Basic,Kan-code,Won,13-12-16,03-04-17,524
OGENAT0L,Zane Levy,GTX Basic,Singletechno,Won,13-12-16,27-03-17,552
F57JWIDF,Gladys Colclough,GTX Plus Basic,Konmatfix,Won,14-12-16,03-02-17,970
LF8JZ3Q5,Kary Hendrixson,GTX Plus Basic,Hatfan,Won,14-12-16,13-03-17,1046
MRGBSMQ5,Kary Hendrixson,GTX Plus Basic,Sunnamplex,Won,14-12-16,14-03-17,988
CBAV8ZJL,Lajuana Vencill,GTX Basic,Codehow,Won,14-12-16,22-03-17,547
NN4DWBVN,Maureen Marcano,GTX Pro,Singletechno,Lost,14-12-16,03-04-17,0
6JXHEZYK,Versie Hillebrand,MG Special,Isdom,Won,14-12-16,31-03-17,54
WDHNR2EI,Violet Mclelland,MG Special,Silis,Won,14-12-16,20-03-17,57
4K750D6F,Violet Mclelland,MG Special,Yearin,Won,14-12-16,18-03-17,55
94GI0ZJ7,Anna Snelling,GTX Plus Pro,Stanredtax,Won,15-12-16,15-03-17,5765
TODG6DEK,Daniell Hammack,GTX Basic,Bioplex,Won,15-12-16,16-03-17,639
G0ECB8FS,Kary Hendrixson,GTX Pro,Labdrill,Won,15-12-16,15-03-17,5100
96MZYUY0,Vicki Laflamme,GTX Pro,Fasehatice,Won,15-12-16,03-07-17,4906
JZOKHHWN,Donn Cantrell,GTX Plus Basic,Opentech,Won,16-12-16,03-07-17,1037
EH6I67I0,James Ascencio,GTX Basic,Plexzap,Won,16-12-16,15-03-17,537
JUUXF02Z,Kary Hendrixson,GTX Pro,Hatfan,Won,16-12-16,03-09-17,4694
OT87JDWO,Lajuana Vencill,GTX Basic,Konmatfix,Won,16-12-16,24-03-17,560
YHKT6YJ7,Moses Frase,GTX Basic,dambase,Won,16-12-16,13-03-17,589
H78I3TAY,Reed Clapper,GTX Basic,Mathtouch,Won,16-12-16,14-03-17,493
1ROC43JK,Versie Hillebrand,MG Special,Betatech,Won,16-12-16,03-08-17,50
LPZLQL48,Vicki Laflamme,GTX Basic,Y-corporation,Won,16-12-16,28-03-17,492
3KR50X38,Corliss Cosme,GTX Plus Basic,Konex,Won,17-12-16,13-03-17,1255
Q3WLHRE9,Darcel Schlecht,GTX Basic,Statholdings,Won,17-12-16,03-04-17,463
IX7UEOAP,Donn Cantrell,GTX Plus Basic,Initech,Lost,17-12-16,27-03-17,0
NQU62K1H,Donn Cantrell,GTX Basic,Zencorporation,Won,17-12-16,03-12-17,605
NAQKOU0T,Hayden Neloms,GTX Plus Basic,Fasehatice,Won,17-12-16,20-03-17,1315
I3V3GUAI,Lajuana Vencill,GTX Basic,Zumgoity,Won,17-12-16,03-02-17,559
PN4VJDXY,Moses Frase,GTX Basic,Rundofase,Won,17-12-16,28-03-17,557
K9D4DQ3R,Rosie Papadopoulos,MG Special,Vehement Capital Partners,Won,17-12-16,03-02-17,48
9X6V79KE,Versie Hillebrand,GTX Plus Pro,Isdom,Won,17-12-16,25-03-17,6282
W1KLFNE4,Anna Snelling,MG Advanced,Isdom,Won,18-12-16,03-02-17,3246
GD2OCW12,Darcel Schlecht,GTX Basic,Finhigh,Won,18-12-16,14-03-17,514
6XO4RYXK,Donn Cantrell,GTX Plus Basic,Silis,Won,18-12-16,15-03-17,1132
18Y7GRPW,Garret Kinder,GTX Plus Pro,Silis,Won,18-12-16,21-03-17,5918
127ZPLXQ,Kary Hendrixson,GTX Pro,Hottechi,Lost,18-12-16,18-03-17,0
U07C2HEG,Maureen Marcano,MG Special,Kan-code,Lost,18-12-16,14-03-17,0
RNTOJ78L,Rosalina Dieter,MG Special,Hatfan,Lost,18-12-16,13-03-17,0
NLB4D5BQ,Versie Hillebrand,MG Advanced,Gogozoom,Won,18-12-16,24-03-17,2955
FCFDJIEZ,Vicki Laflamme,GTX Pro,Fasehatice,Won,18-12-16,21-03-17,3742
YZGDW4G1,Violet Mclelland,MG Special,Initech,Won,18-12-16,14-03-17,64
G8AO5FA2,Wilburn Farren,MG Advanced,Initech,Lost,18-12-16,27-03-17,0
LXXW3TRW,Elease Gluck,GTX Plus Basic,Scotfind,Won,19-12-16,18-03-17,1164
8KJ3H262,Elease Gluck,MG Special,Singletechno,Won,19-12-16,03-07-17,65
88POGNEL,Gladys Colclough,GTX Plus Basic,Cancity,Lost,19-12-16,03-07-17,0
UYP3NNU6,Kami Bicknell,GTX Basic,Groovestreet,Won,19-12-16,16-03-17,441
S1V8684Y,Marty Freudenburg,GTX Plus Basic,Finhigh,Lost,19-12-16,03-12-17,0
MOPWEMB5,Vicki Laflamme,GTX Pro,Hatfan,Won,19-12-16,16-03-17,4907
L62MDI48,Anna Snelling,MG Advanced,Isdom,Lost,20-12-16,03-01-17,0
3EL8D4WO,Darcel Schlecht,MG Advanced,Codehow,Won,20-12-16,25-03-17,3269
VOAN1NXG,Donn Cantrell,GTX Basic,Kinnamplus,Won,20-12-16,03-12-17,579
ALW92XQL,Gladys Colclough,GTX Basic,Isdom,Lost,20-12-16,25-03-17,0
TJ6ZA1M3,Kary Hendrixson,GTX Basic,Dalttechnology,Lost,20-12-16,03-07-17,0
FKAFO8O9,Kary Hendrixson,MG Special,Xx-holding,Won,20-12-16,31-03-17,51
1XBC7M9F,Markita Hansen,MG Special,Faxquote,Won,20-12-16,03-08-17,64
8IXBS90G,Rosie Papadopoulos,MG Special,Donware,Won,20-12-16,03-08-17,60
2X45BEOS,Cassey Cress,GTX Plus Basic,Ganjaflex,Won,21-12-16,27-03-17,1186
EQ8X0QTL,Corliss Cosme,MG Advanced,Yearin,Won,21-12-16,03-09-17,3577
5QD53WHF,Daniell Hammack,GTX Plus Basic,Donquadtech,Won,21-12-16,03-07-17,1020
79EABK3X,Hayden Neloms,MG Special,Zoomit,Won,21-12-16,23-03-17,53
2DKO9X1T,Jonathan Berthelot,GTX Basic,Rundofase,Lost,21-12-16,03-10-17,0
IBDEQVBN,Kary Hendrixson,GTX Basic,Faxquote,Lost,21-12-16,28-03-17,0
QZ3VV4C1,Kary Hendrixson,GTX Pro,Sunnamplex,Won,21-12-16,03-08-17,4719
62AK8UWX,Moses Frase,GTX Basic,Codehow,Won,21-12-16,22-03-17,546
5QM4ORNT,Niesha Huffines,GTX Plus Basic,Domzoom,Won,21-12-16,21-03-17,1212
S91N9YBL,Vicki Laflamme,GTX Basic,Sunnamplex,Lost,21-12-16,03-08-17,0
44H0FJMH,Anna Snelling,GTX Plus Pro,Bioholding,Lost,22-12-16,27-03-17,0
N5AZLQZR,Gladys Colclough,GTX Plus Pro,Dontechi,Won,22-12-16,14-03-17,5533
4T295XQL,Kami Bicknell,MG Advanced,Finjob,Won,22-12-16,03-01-17,3295
YFS5KLJJ,Rosalina Dieter,MG Special,Finjob,Won,22-12-16,31-03-17,45
S8GLKDB9,Violet Mclelland,MG Special,Bioplex,Won,22-12-16,03-04-17,56
01QKN578,Darcel Schlecht,GTX Pro,Funholding,Won,23-12-16,20-03-17,4247
M0JKP0HT,Gladys Colclough,MG Advanced,Isdom,Won,23-12-16,13-03-17,3440
ZC3KKSUK,James Ascencio,GTX Pro,Plexzap,Won,23-12-16,03-02-17,5040
3X8VLQ5G,Jonathan Berthelot,GTX Basic,Cancity,Won,23-12-16,03-12-17,469
EZLXL6GL,Moses Frase,MG Special,Isdom,Won,23-12-16,03-07-17,58
R8PEL8V8,Cecily Lampkin,MG Advanced,Isdom,Won,24-12-16,16-03-17,2955
L1R32S8H,Corliss Cosme,GTX Plus Pro,Condax,Won,24-12-16,26-03-17,5228
J7N8J8NM,Darcel Schlecht,MG Advanced,Toughzap,Won,24-12-16,14-03-17,3358
TO7PGVP1,Elease Gluck,GTX Plus Pro,Green-Plus,Lost,24-12-16,29-03-17,0
A051G1B4,Jonathan Berthelot,GTX Basic,Codehow,Won,24-12-16,31-03-17,517
NMDMM5YJ,Moses Frase,GTX Basic,Dontechi,Won,24-12-16,03-03-17,615
LWPJEV3U,Niesha Huffines,GTX Basic,Domzoom,Lost,24-12-16,03-10-17,0
I93ZFHEM,Versie Hillebrand,MG Special,Condax,Won,24-12-16,03-08-17,62
B2VJCVBB,Darcel Schlecht,GTX Plus Pro,Isdom,Won,25-12-16,13-03-17,4711
F90O03ZH,Donn Cantrell,GTX Pro,Kinnamplus,Lost,25-12-16,23-03-17,0
PC78RLUX,Garret Kinder,GTX Basic,Yearin,Won,25-12-16,30-03-17,510
X6GL64T5,Gladys Colclough,GTX Pro,Warephase,Won,25-12-16,25-03-17,4891
OWM3BPGW,Hayden Neloms,GTX Plus Basic,Green-Plus,Won,25-12-16,17-03-17,926
RP5PS9A5,Lajuana Vencill,MG Special,Betatech,Won,25-12-16,03-10-17,56
F2PW7WP2,Violet Mclelland,MG Special,Ontomedia,Won,25-12-16,03-05-17,47
GK8YD2XW,Darcel Schlecht,GTX Basic,Rangreen,Lost,26-12-16,23-03-17,0
U4LRR9E9,James Ascencio,GTX Plus Pro,Nam-zim,Won,26-12-16,03-10-17,6490
9N55D1AH,Niesha Huffines,MG Advanced,Treequote,Won,26-12-16,03-02-17,3841
WI4PODA2,Kary Hendrixson,GTX Plus Pro,Faxquote,Won,27-12-16,15-03-17,5256
VF1V41RI,Markita Hansen,MG Special,Kan-code,Lost,27-12-16,28-03-17,0
1B4L7TNG,Markita Hansen,MG Advanced,Sonron,Lost,27-12-16,25-03-17,0
